ccn,provider_name,provider_address,city,state,zip_code,in_vbp,vbp_rank,performance_score,incentive_multiplier,payment_direction,national_pct_rank,national_vbp_tier,state_pct_rank,state_vbp_tier,snfrm_base,snfrm_perf,snfrm_score,snfrm_delta,hai_base,hai_perf,hai_score,turnover_base,turnover_perf,turnover_score,turnover_delta,staffing_hprd_base,staffing_hprd_perf,staffing_score,staffing_hprd_delta,fn_snfrm_flag,fn_hai_flag,fn_turnover_flag,fn_staffing_flag
125010,LEAHI HOSPITAL,3675 KILAUEA AVENUE,HONOLULU,HI,96816,True,1047,60.55927,1.0156972419,BONUS,0.925,TOP_QUARTILE,0.744,ABOVE_MEDIAN,,,,,,,,0.13592,0.10588,10.0,-0.03,5.1357,3.67854,2.11185,-1.4572,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125002,HILO BENIOFF MEDICAL CENTER,1190 WAIANUENUE AVENUE,HILO,HI,96720,True,998,61.20959,1.016286899,BONUS,0.928,TOP_QUARTILE,0.769,TOP_QUARTILE,,,,,,,,0.25,0.4,5.79347,0.15,4.35393,4.91259,6.44845,0.5587,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125040,LIFE CARE CENTER OF HILO,944 WEST KAWAILANI STREET,HILO,HI,96720,True,837,63.12229,1.0179093172,BONUS,0.94,TOP_QUARTILE,0.795,TOP_QUARTILE,0.1512,0.16861,10.0,0.0174,0.05149,0.06794,3.48215,0.23308,0.16447,10.0,-0.0686,3.34601,3.58034,1.76677,0.2343,,,,
125003,KULA HOSPITAL,100 KEOKEA PLACE,KULA,HI,96790,True,682,65.39734,1.0196193391,BONUS,0.951,TOP_QUARTILE,0.821,TOP_QUARTILE,,,,,,,,0.93966,0.51908,5.58522,-0.4206,4.05298,5.21019,7.49425,1.1572,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125069,HALE OLA KINO BY ARCADIA,1314 KALAKAUA AVE SECOND FLOOR,HON,HI,96826,True,557,67.57201,1.021035496,BONUS,0.96,TOP_QUARTILE,0.846,TOP_QUARTILE,,0.19726,3.68053,,,0.06834,3.34827,,0.13158,10.0,,,5.84329,10.0,,,,,
125045,HALE ANUENUE RESTORATIVE CARE,1333 WAIANUENUE AVENUE,HILO,HI,96720,True,353,72.19553,1.0233995381,BONUS,0.975,TOP_QUARTILE,0.872,TOP_QUARTILE,0.18657,0.16012,10.0,-0.0264,0.05667,0.05597,7.48847,0.41333,0.22857,10.0,-0.1848,3.33512,3.47305,1.38974,0.1379,,,,
125004,GARDEN ISLE HEALTHCARE AND REHABILITATION CENTER,"3-3420 KUHIO HIGHWAY, SUITE 300",LIHUE,HI,96766,True,329,73.01742,1.0237377668,BONUS,0.976,TOP_QUARTILE,0.897,TOP_QUARTILE,0.18488,0.16791,10.0,-0.017,0.05311,0.05612,7.43827,0.28409,0.20833,10.0,-0.0758,4.07142,3.58089,1.7687,-0.4905,,,,
125032,HALE HO'OLA HAMAKUA,45-547 PLUMERIA STREET,HONOKAA,HI,96727,True,269,74.89849,1.0244309101,BONUS,0.981,TOP_QUARTILE,0.923,TOP_QUARTILE,,,,,,,,0.27632,0.32955,7.51718,0.0532,5.1181,5.20116,7.46252,0.0831,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125064,THE CHING VILLAS,2230 LILIHA STREET,HONOLULU,HI,96817,True,224,77.27923,1.0251635713,BONUS,0.984,TOP_QUARTILE,0.949,TOP_QUARTILE,0.18638,0.17519,8.4427,-0.0112,0.06334,0.0531,8.44905,0.49123,0.34783,7.06992,-0.1434,4.98374,5.05532,6.95002,0.0716,,,,
125029,SAMUEL MAHELONA MEMORIAL HOSPITAL,4800 KAWAIHAU ROAD,KAPAA,HI,96746,True,82,87.65837,1.0270266489,BONUS,0.994,TOP_QUARTILE,0.974,TOP_QUARTILE,,,,,,,,0.125,0.07273,10.0,-0.0523,5.79479,5.22084,7.53167,-0.574,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125063,15 CRAIGSIDE,15 CRAIGSIDE PLACE,HONOLULU,HI,96817,True,68,89.11409,1.0271712287,BONUS,0.995,TOP_QUARTILE,1.0,TOP_QUARTILE,,,,,,,,0.34,0.07143,10.0,-0.2686,6.38661,5.30369,7.82282,-1.0829,VOL_SUPPRESSED,VOL_SUPPRESSED,,
