ccn,facility_name,state,type_of_control,fy_begin,fy_end,beds,days_medicare,days_medicaid,days_total,bed_days_available,medicare_days_pct,medicaid_days_pct,private_other_pct,net_patient_revenue,net_income,total_costs,total_salaries,contract_labor,operating_margin_pct,occupancy_pct,contract_labor_pct,medicaid_heavy,financially_stressed
395440,CAMP HILL SKILLED NURSING AND REHABI,PA,6,2023-02-01,2023-06-30,123.0,803.0,12514.0,17305.0,18450.0,4.6,72.3,23.0,5392205.0,-589825.0,700711.0,2484844.0,793228.0,-10.94,93.8,31.9,True,True
145044,HERITAGE MANOR PERU  LLC,IL,4,2023-01-01,2023-06-30,127.0,1885.0,7672.0,13808.0,22987.0,13.7,55.6,30.8,4544059.0,-209898.0,823487.0,2277099.0,77849.0,-4.62,60.1,3.4,False,False
145267,HERITAGE MANOR PANA  LLC,IL,4,2023-01-01,2023-06-30,128.0,1940.0,8103.0,13751.0,23168.0,14.1,58.9,27.0,4445084.0,-262956.0,884905.0,2166568.0,42860.0,-5.92,59.4,2.0,False,True
205140,TALL PINES HEALTHCARE  INC,ME,4,2023-01-01,2023-06-13,53.0,420.0,3913.0,5160.0,8692.0,8.1,75.8,16.0,2235972.0,-1500723.0,468506.0,1122869.0,1039005.0,-67.12,59.4,92.5,True,True
146034,SYMPHONY OSWEGO LLC,IL,6,2023-01-01,2023-05-31,105.0,2445.0,3357.0,9808.0,15855.0,24.9,34.2,40.8,3937930.0,159026.0,750284.0,1627850.0,348147.0,4.04,61.9,21.4,False,False
265382,DEXTER LIVING CENTER,MO,4,,,,,,,,,,,,,,,,,,,False,False
395985,ALTOONA CENTER FOR NURSING CARE,PA,6,2023-01-01,2023-06-30,120.0,149.0,11527.0,13094.0,21720.0,1.1,88.0,10.8,4486275.0,-987383.0,505552.0,2565304.0,191653.0,-22.01,60.3,7.5,True,True
396048,HARMARVILLAGE CARE CENTER,PA,6,2023-01-01,2023-06-30,130.0,266.0,8815.0,11306.0,23530.0,2.4,78.0,19.7,6129211.0,-700744.0,532280.0,2667602.0,493281.0,-11.43,48.0,18.5,True,True
315295,HMH REGENT CARE CENTER,NJ,2,2023-01-01,2023-03-15,180.0,110.0,5584.0,9285.0,13320.0,1.2,60.1,38.7,2576279.0,-2387002.0,397944.0,1954653.0,885089.0,-92.65,69.7,45.3,True,True
395542,MOUNTAIN TOP HEALTHCARE AND REHAB,PA,4,2023-01-01,2023-04-30,106.0,547.0,7251.0,10316.0,12720.0,5.3,70.3,24.4,3177154.0,-1545292.0,367696.0,1256810.0,572273.0,-48.64,81.1,45.5,True,True
395651,BIRCHWOOD HEALTHCARE & REHAB,PA,4,2023-01-01,2023-04-30,121.0,970.0,8164.0,12133.0,14520.0,8.0,67.3,24.7,3097651.0,-1509273.0,445959.0,1280748.0,878018.0,-48.72,83.6,68.6,True,True
395719,RIVERSIDE CARE CENTER,PA,4,2023-01-01,2023-06-30,120.0,272.0,10194.0,11536.0,21720.0,2.4,88.4,9.3,3569520.0,-908972.0,460335.0,1629959.0,695162.0,-25.46,53.1,42.6,True,True
675670,FPACP CORPUS LLC,TX,6,2023-01-01,2023-07-26,94.0,246.0,3489.0,4310.0,19458.0,5.7,81.0,13.3,902167.0,-627652.0,148110.0,739551.0,,-69.57,22.2,,True,True
265491,COMMUNITY CARE CENTER OF SENECA,MO,4,2022-10-01,2023-05-31,80.0,1751.0,9876.0,13278.0,19440.0,13.2,74.4,12.4,3120034.0,729548.0,360097.0,1159443.0,212901.0,23.38,68.3,18.4,True,False
015452,ARBOR LAKE HEALTH & REHAB  LLC,AL,5,2022-11-09,2022-12-31,87.0,53.0,2627.0,3947.0,5307.0,1.3,66.6,32.1,902002.0,-108423.0,13158.0,421778.0,,-12.02,74.4,,True,True
165413,PLEASANT VIEW HOME,IA,4,2023-01-01,2023-02-16,41.0,149.0,170.0,903.0,1927.0,16.5,18.8,64.7,303910.0,-197658.0,24532.0,179265.0,193605.0,-65.04,46.9,108.0,False,True
265677,GENERAL BAPTIST NURSING HOME OF CAMP,MO,1,2022-10-01,2023-03-31,90.0,1313.0,6547.0,12138.0,16380.0,10.8,53.9,35.2,2313539.0,-262884.0,355842.0,1344483.0,215480.0,-11.36,74.1,16.0,False,True
396003,MONROEVILLE SKILLED NURSING & REHABI,PA,6,2023-02-01,2023-06-30,120.0,824.0,14344.0,17828.0,18000.0,4.6,80.5,14.9,5801568.0,-525112.0,1016989.0,2143129.0,1389417.0,-9.05,99.0,64.8,True,True
675046,ROSENBERG HEALTH & REHABILITATION CE,TX,4,2023-01-01,2023-03-31,142.0,747.0,6973.0,8199.0,12780.0,9.1,85.0,5.8,1922592.0,92681.0,282986.0,917319.0,,4.82,64.2,,True,False
745019,JAMES L WEST PRESBYTERIAN SPECIAL CA,TX,2,,,,,,,,,,,,,,,,,,,False,False
145911,HERITAGE MANOR-GIBSON CITY  LLC,IL,4,2023-01-01,2023-06-30,60.0,717.0,4788.0,9366.0,10860.0,7.7,51.1,41.2,2650988.0,-327142.0,416637.0,1247084.0,359022.0,-12.34,86.2,28.8,False,True
225510,PRESCOTT NURSING AND REHAB BHC OPERA,MA,6,2023-02-01,2023-05-31,126.0,2484.0,7539.0,14178.0,15120.0,17.5,53.2,29.3,5451038.0,110761.0,631740.0,2788995.0,243969.0,2.03,93.8,8.7,False,False
225586,WESTFORD NURSING AND REHAB BHC OPERA,MA,6,2023-02-01,2023-05-31,123.0,1164.0,6263.0,12168.0,14760.0,9.6,51.5,39.0,3897351.0,-527002.0,358939.0,2226596.0,202388.0,-13.52,82.4,9.1,False,True
366316,ARCHBISHOP LEIBOLD HOME,OH,1,,,,,,,,,,,,,,,,,,,False,False
395783,PETERS TOWNSHIP SKILLED NURSING & RE,PA,6,2023-02-01,2023-09-30,140.0,1434.0,17859.0,24336.0,33880.0,5.9,73.4,20.7,7375844.0,-973682.0,1147057.0,2875126.0,1541521.0,-13.2,71.8,53.6,True,True
505004,ISSAQUAH NURSING & REHAB CENTER,WA,4,2023-01-01,2023-02-28,140.0,999.0,3069.0,4960.0,8260.0,20.1,61.9,18.0,2447223.0,160809.0,663087.0,1102085.0,,6.57,60.0,,True,False
505270,PARK WEST CARE CENTER,WA,4,2023-01-01,2023-02-28,139.0,829.0,3523.0,5370.0,8201.0,15.4,65.6,19.0,2151759.0,-172652.0,195197.0,1073151.0,,-8.02,65.5,,True,True
525421,LINDENGROVE MENOMONEE FALLS,WI,2,2023-03-20,2023-06-30,50.0,1090.0,515.0,4132.0,5150.0,26.4,12.5,61.2,2064019.0,-738672.0,468509.0,523157.0,856140.0,-35.79,80.2,163.6,False,True
525422,LINDENGROVE WAUKESHA,WI,2,2023-03-20,2023-06-30,32.0,677.0,626.0,2243.0,3296.0,30.2,27.9,41.9,1034933.0,-1096648.0,228145.0,346426.0,700640.0,-105.96,68.1,202.2,False,True
675519,LARKSPUR,TX,11,2023-03-01,2023-06-30,92.0,1086.0,4546.0,7883.0,11224.0,13.8,57.7,28.6,2196790.0,-186054.0,404615.0,1108712.0,,-8.47,70.2,,False,True
145456,HERITAGE MANOR CARLINVILLE  LLC,IL,4,2023-01-01,2023-06-30,95.0,882.0,5524.0,9378.0,17195.0,9.4,58.9,31.7,2555140.0,-507248.0,454129.0,1406933.0,54000.0,-19.85,54.5,3.8,False,True
145546,HERITAGE MANOR - MT. ZION  LLC,IL,4,2023-01-01,2023-06-30,71.0,1503.0,4368.0,8460.0,12851.0,17.8,51.6,30.6,2764662.0,-320575.0,544797.0,1502807.0,18841.0,-11.6,65.8,1.3,False,True
