ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,NURSING HOME PROVIDER NAME,AFFILIATION ENTITY NAME,AFFILIATION ENTITY ID,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE
O20170714002145,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912125683,N,676155,3678766227,LIBERTY COUNTY HOSPITAL DISTRICT NO. 1,THE COURTYARDS AT PASADENA,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,THE COURTYARDS AT PASADENA,FUNDAMENTAL HEALTHCARE,231,4048 RED BLUFF RD,,PASADENA,TX,775033606
O20170714002532,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801239033,N,676362,3678766227,LIBERTY COUNTY HOSPITAL DISTRICT NO. 1,BRIDGECREST REHABILITATION SUITES,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,BRIDGECREST REHABILITATION SUITES,FUNDAMENTAL HEALTHCARE,231,14100 KARISSA COURT,,HOUSTON,TX,770493866
O20170717002101,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1114916293,N,555911,4284692096,GLENDALE ADVENTIST MEDICAL CENTER,,1905-08-26,CA,CORPORATION,,N,GLENDALE ADVENTIST MEDICAL CENTER DP/SNF,ADVENTIST HEALTH,671,1509 WILSON TER,,GLENDALE,CA,912064007
O20170717002329,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295279594,N,345255,4789954231,CAROLINA CARE HEALTH AND REHABILITATION LLC,,2016-11-08,NC,LLC,,P,CAROLINA CARE HEALTH AND REHABILITATION,SANSTONE HEALTH & REHABILITATION,465,111 HARRILSON RD,,CHERRYVILLE,NC,280219541
O20170717002430,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588025456,N,676220,5496653842,GUADALUPE COUNTY HOSPITAL BOARD,GRANITE MESA HEALTH CENTER,,,OTHER,GOVERNMENT ENTITY-HOSPITAL DISTRICT,N,GRANITE MESA HEALTH CENTER,THE ENSIGN GROUP,507,1401 MAX COPELAND DR,,MARBLE FALLS,TX,786544665
O20170717002463,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1225577505,N,106115,8921378472,BRIDGEWATER PARK LLC,BRIDGEWATER PARK HEALTH & REHABILITATION CENTER,2014-10-16,FL,LLC,,P,BRIDGEWATER PARK HEALTH & REHABILITATION CENTER,TLC MANAGEMENT,520,9280 SW 81ST CT,,OCALA,FL,344817848
O20170717002777,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639419781,N,675766,5496653842,GUADALUPE COUNTY HOSPITAL BOARD,THE COURTYARD REHABILITATION AND HEALTHCARE CENTER,,,OTHER,GOVERNMENT ENTITY-HOSPITAL DISTRICT,N,THE COURTYARD REHABILITATION AND HEALTHCARE CENTER,THE ENSIGN GROUP,507,3401 E AIRLINE RD,,VICTORIA,TX,779014551
O20170717003096,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528308640,N,675651,5496653842,GUADALUPE COUNTY HOSPITAL BOARD,SAN MARCOS REHABILITATION AND HEALTHCARE CENTER,,,OTHER,GOVERNMENT ENTITY-HOSPITAL DISTRICT,N,SAN MARCOS REHABILITATION AND HEALTHCARE CENTER,THE ENSIGN GROUP,507,1600 N INTERSTATE 35,,SAN MARCOS,TX,786666984
O20170717003577,WI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952833071,N,525526,5698686079,CHI LIVING COMMUNITIES,FRANCISCAN VILLA,1998-08-25,OH,CORPORATION,,N,CHI FRANCISCAN VILLA,COMMONSPIRIT HEALTH,151,3601 S CHICAGO AVE,,SOUTH MILWAUKEE,WI,531723708
O20170718000011,IL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1538697834,N,145751,4789954157,PA PETERSON AT THE CITADEL LLC,PA PETERSON AT THE CITADEL,2017-05-23,IL,LLC,,P,PA PETERSON AT THE CITADEL,CITADEL HEALTHCARE,147,1311 PARKVIEW AVE,,ROCKFORD,IL,611071818
