ccn,provider_name,state,city,zip,snfrm_achievement,snfrm_improvement,snfrm_measure_score,hai_achievement,hai_improvement,hai_measure_score,turnover_score,staffing_score,performance_score,incentive_payment_multiplier,vbp_penalty,vbp_bonus
395833,HCC AT WHITE HORSE VILLAGE,PA,NEWTOWN SQUARE,19073,6.32163,4.68470,6.32163,10.00000,9.00000,10.00000,5.35991,8.27776,74.89823,1.0244308234,False,True
395834,KING OF PRUSSIA SKILLED NURSING AND REHABILITATION,PA,KING OF PRUSSIA,19406,1.77308,0.00000,1.77308,0.00000,0.00000,0.00000,0.00000,1.10601,7.19771,0.9806568008,True,False
395838,FOXDALE VILLAGE,PA,STATE COLLEGE,16801,---,---,---,---,---,---,7.14332,8.89490,80.19114,1.0258745156,False,True
395840,PATRIOT VILLAGE,PA,SOMERSET,15501,6.65608,0.85171,6.65608,4.38918,0.00000,4.38918,4.20017,1.95491,43.00085,0.9959661247,True,False
395843,RIVER'S EDGE REHABILITATION & HEALTHCARE CENTER,PA,PHILADELPHIA,19114,0.00000,2.17077,2.17077,0.00000,0.00000,0.00000,5.79347,0.98579,22.37507,0.9828573207,True,False
395844,ELIZABETHTOWN NURSING AND REHABILITATION,PA,ELIZABETHTOWN,17022,7.57097,3.20423,7.57097,6.45761,3.55882,6.45761,2.66725,2.57189,48.16926,1.0018615846,False,True
395845,CRANBERRY PLACE,PA,CRANBERRY TOWNSHIP,16066,4.27176,0.00000,4.27176,3.74656,0.00000,3.74656,0.00000,4.24063,30.64738,0.9860706656,True,False
395846,KADIMA REHABILITATION & NURSING AT CAMPBELLTOWN,PA,PALMYRA,17078,---,---,---,3.42190,2.85772,3.42190,0.00000,1.93780,17.86568,0.9818602972,True,False
395847,MONTGOMERY SUBACUTE AND RESPIRATORY CENTER,PA,PLYMOUTH MEETING,19462,0.84956,---,0.84956,0.00000,---,0.00000,7.03151,0.00000,19.70266,0.9822181378,True,False
395848,BARCLAY FRIENDS,PA,WEST CHESTER,19380,0.82582,0.00000,0.82582,0.00000,0.00000,0.00000,---,4.69480,18.40207,0.9819586329,True,False
395851,REHAB & NURSING CTR GREATER PITTSBURGH,PA,GREENSBURG,15601,0.00000,0.00000,0.00000,3.55578,0.00000,3.55578,8.35151,1.13114,32.59607,0.9871818272,True,False
395852,CLIVEDEN NURSING AND REHABILITATION CENTER,PA,PHILADELPHIA,19119,0.00000,0.26446,0.26446,1.32670,0.00000,1.32670,3.68660,2.34463,19.05599,0.9820852572,True,False
395853,CRAWFORD CARE CENTER,PA,SAEGERTOWN,16433,0.00000,---,0.00000,0.80123,---,0.80123,---,2.41052,10.70582,0.9809274804,True,False
395857,EPHRATA MANOR,PA,EPHRATA,17522,0.00000,0.00000,0.00000,3.92060,0.00000,3.92060,7.53871,5.85252,43.2796,0.9962648809,True,False
395860,LOYALHANNA CARE CENTER,PA,LATROBE,15650,5.24275,6.05431,6.05431,5.09204,3.91002,5.09204,---,4.54956,52.31972,1.0068355175,False,True
395861,HRH TRANSITIONAL CARE UNIT(A D/B/A ENTITY OF HRHS),PA,MEADOWBROOK,19046,1.66519,0.00000,1.66519,10.00000,9.00000,10.00000,8.90741,---,68.57531,1.0216201059,False,True
395864,JUNIPER VILLAGE AT BUCKS COUNTY REHAB AND SKD CARE,PA,BENSALEM,19020,3.11304,3.99302,3.99302,0.00000,1.68171,1.68171,---,---,28.37369,0.9849634126,True,False
395865,MAPLEWOOD NURSING AND REHAB CENTER,PA,PHILADELPHIA,19144,0.54316,1.80584,1.80584,0.98531,0.00000,0.98531,2.09844,1.67244,16.40508,0.9816159844,True,False
