HCPCS_Cd,RBCS_Id,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Latest_Assignment,First_RBCS_Release_Year,RBCS_Analysis_Start_Dt,RBCS_Analysis_End_Dt,Alt_Assignment_Method,RBCS_Id_Ever_Reassigned
C9359,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2008,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9360,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2009,12/31/9999,0,2020,01/01/2014,12/31/2020,0,1
C9361,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2009,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9362,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2009,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9363,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2009,12/31/9999,0,2020,01/01/2014,12/31/2020,0,1
C9364,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2009,12/31/9999,0,2020,01/01/2014,12/31/2020,0,1
C9447,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2015,09/30/2019,0,2020,01/01/2015,09/30/2019,0,1
E0191,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/1986,12/31/9999,1,2021,01/01/2014,12/31/9999,0,0
E0352,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/1995,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
E0676,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2007,12/31/9999,1,2022,01/01/2014,12/31/9999,0,0
E0677,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,04/01/2023,12/31/9999,1,2024,04/01/2023,12/31/9999,0,0
E1399,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/1986,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
K0745,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2011,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
K0746,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2011,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
K1010,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2020,03/31/2021,1,2022,10/01/2020,03/31/2021,0,0
