ZIP,Population_Total,Population_65Plus,ACS_Year
04942,1192,312,2024-5yr
04943,1602,349,2024-5yr
04944,140,12,2024-5yr
04945,1325,317,2024-5yr
04947,1596,519,2024-5yr
04949,969,211,2024-5yr
04950,4782,1199,2024-5yr
04951,1001,226,2024-5yr
04952,1790,464,2024-5yr
04953,3143,781,2024-5yr
04955,1550,369,2024-5yr
04956,607,164,2024-5yr
04957,4006,1007,2024-5yr
04958,2002,546,2024-5yr
04961,919,255,2024-5yr
04963,7524,1449,2024-5yr
04964,108,108,2024-5yr
04965,2209,370,2024-5yr
04966,1632,394,2024-5yr
04967,3930,598,2024-5yr
04969,1319,243,2024-5yr
04970,1105,516,2024-5yr
04971,1831,477,2024-5yr
04973,1646,345,2024-5yr
04974,2655,629,2024-5yr
04975,21,21,2024-5yr
04976,10072,2464,2024-5yr
04978,856,254,2024-5yr
04979,963,230,2024-5yr
04981,2575,682,2024-5yr
04982,269,47,2024-5yr
04983,2005,462,2024-5yr
04984,824,124,2024-5yr
04985,217,61,2024-5yr
04986,2228,307,2024-5yr
04987,984,266,2024-5yr
04988,1894,234,2024-5yr
04989,4592,931,2024-5yr
04992,0,0,2024-5yr
05001,9751,2061,2024-5yr
05009,0,0,2024-5yr
05030,111,51,2024-5yr
05031,44,44,2024-5yr
05032,2817,532,2024-5yr
05033,3081,714,2024-5yr
05034,180,49,2024-5yr
05035,772,219,2024-5yr
05036,1169,385,2024-5yr
05037,949,268,2024-5yr
05038,1371,385,2024-5yr
05039,935,292,2024-5yr
05040,589,202,2024-5yr
05041,372,25,2024-5yr
05042,602,147,2024-5yr
05043,907,140,2024-5yr
05045,1779,437,2024-5yr
05046,1241,225,2024-5yr
05048,2506,763,2024-5yr
05050,209,14,2024-5yr
05051,927,246,2024-5yr
05052,346,98,2024-5yr
05053,333,67,2024-5yr
05055,3463,560,2024-5yr
05056,352,109,2024-5yr
05058,128,90,2024-5yr
05059,510,226,2024-5yr
05060,4268,1152,2024-5yr
05061,1788,437,2024-5yr
05062,705,214,2024-5yr
05065,1198,279,2024-5yr
05067,291,98,2024-5yr
05068,2987,768,2024-5yr
05069,778,139,2024-5yr
05070,510,148,2024-5yr
05071,130,44,2024-5yr
05072,751,126,2024-5yr
05073,64,0,2024-5yr
05075,1438,361,2024-5yr
05076,495,92,2024-5yr
05077,1116,205,2024-5yr
05079,914,208,2024-5yr
05081,842,204,2024-5yr
05083,193,60,2024-5yr
05084,183,13,2024-5yr
05086,647,160,2024-5yr
05088,581,153,2024-5yr
05089,4462,1335,2024-5yr
05091,3443,1166,2024-5yr
05101,4165,1200,2024-5yr
05141,66,55,2024-5yr
05142,564,187,2024-5yr
05143,4767,1299,2024-5yr
05146,678,214,2024-5yr
05148,1401,300,2024-5yr
05149,2241,702,2024-5yr
05150,418,185,2024-5yr
05151,1590,275,2024-5yr
05152,448,93,2024-5yr
05153,851,185,2024-5yr
05154,479,116,2024-5yr
05155,735,196,2024-5yr
05156,9116,2072,2024-5yr
05158,1151,189,2024-5yr
05161,676,300,2024-5yr
05201,14998,3730,2024-5yr
05250,3847,805,2024-5yr
05251,1674,432,2024-5yr
05252,455,58,2024-5yr
05253,516,91,2024-5yr
05254,439,128,2024-5yr
05255,4108,1027,2024-5yr
05257,2807,739,2024-5yr
05260,384,185,2024-5yr
05261,2171,537,2024-5yr
05262,2043,432,2024-5yr
05301,16955,4370,2024-5yr
05340,745,155,2024-5yr
05341,728,196,2024-5yr
05342,428,133,2024-5yr
05343,955,277,2024-5yr
05344,514,0,2024-5yr
05345,1667,424,2024-5yr
05346,5177,1301,2024-5yr
05350,844,166,2024-5yr
05351,190,64,2024-5yr
05352,926,197,2024-5yr
05353,1327,252,2024-5yr
05354,2709,617,2024-5yr
05355,724,184,2024-5yr
05356,738,236,2024-5yr
05358,403,90,2024-5yr
05359,757,163,2024-5yr
05360,512,82,2024-5yr
05361,1058,305,2024-5yr
05362,152,52,2024-5yr
05363,1886,584,2024-5yr
05401,31662,3256,2024-5yr
05403,20614,3647,2024-5yr
05404,8293,904,2024-5yr
05405,3136,0,2024-5yr
05408,10019,2214,2024-5yr
05439,1228,0,2024-5yr
05440,1832,496,2024-5yr
05441,540,131,2024-5yr
05442,422,37,2024-5yr
05443,6549,1408,2024-5yr
05444,1752,297,2024-5yr
05445,3916,874,2024-5yr
05446,16452,3167,2024-5yr
05447,120,8,2024-5yr
05448,1010,177,2024-5yr
05450,5428,1016,2024-5yr
05452,22626,3915,2024-5yr
05454,5364,690,2024-5yr
05455,1286,144,2024-5yr
05456,998,228,2024-5yr
05457,1696,278,2024-5yr
05458,2278,356,2024-5yr
05459,1925,419,2024-5yr
05461,4898,1234,2024-5yr
05462,1810,338,2024-5yr
05463,577,153,2024-5yr
05464,2998,347,2024-5yr
05465,5735,1063,2024-5yr
05468,13324,2082,2024-5yr
05471,719,219,2024-5yr
05472,1938,462,2024-5yr
05473,1423,341,2024-5yr
05474,1263,345,2024-5yr
05476,3218,706,2024-5yr
05477,4454,823,2024-5yr
05478,15580,2860,2024-5yr
05481,0,0,2024-5yr
05482,7969,2329,2024-5yr
05483,1717,240,2024-5yr
05485,0,0,2024-5yr
05486,1500,405,2024-5yr
05487,1598,268,2024-5yr
05488,8469,1589,2024-5yr
05489,3484,638,2024-5yr
05491,5767,1370,2024-5yr
05492,725,132,2024-5yr
05494,1603,300,2024-5yr
05495,10956,2255,2024-5yr
05602,12250,3071,2024-5yr
05640,259,30,2024-5yr
05641,16936,3603,2024-5yr
05647,1122,256,2024-5yr
05648,483,146,2024-5yr
05649,427,63,2024-5yr
05650,1029,251,2024-5yr
05651,1510,322,2024-5yr
05652,816,95,2024-5yr
05653,535,62,2024-5yr
05654,953,118,2024-5yr
05655,3000,560,2024-5yr
05656,3458,379,2024-5yr
05658,1725,313,2024-5yr
05660,1882,417,2024-5yr
05661,6227,1535,2024-5yr
05663,6840,1353,2024-5yr
05664,0,0,2024-5yr
05666,17,0,2024-5yr
05667,2412,422,2024-5yr
05669,768,107,2024-5yr
05670,0,0,2024-5yr
05672,5285,1362,2024-5yr
05673,2570,657,2024-5yr
05674,1585,477,2024-5yr
05675,898,268,2024-5yr
05676,5032,813,2024-5yr
05677,2290,437,2024-5yr
05678,228,25,2024-5yr
05679,3147,563,2024-5yr
05680,2003,234,2024-5yr
05681,119,50,2024-5yr
05682,1149,204,2024-5yr
05701,20382,5412,2024-5yr
05730,525,141,2024-5yr
05731,35,9,2024-5yr
05732,1187,340,2024-5yr
05733,6015,1409,2024-5yr
05734,1297,330,2024-5yr
05735,3651,747,2024-5yr
05736,408,145,2024-5yr
05737,639,126,2024-5yr
05738,1295,271,2024-5yr
05739,1294,333,2024-5yr
05742,803,191,2024-5yr
05743,4160,833,2024-5yr
05744,372,60,2024-5yr
05746,0,0,2024-5yr
05747,361,76,2024-5yr
05748,435,86,2024-5yr
05751,785,165,2024-5yr
05753,11094,2401,2024-5yr
05757,791,202,2024-5yr
05758,700,182,2024-5yr
05759,1900,491,2024-5yr
05760,993,297,2024-5yr
05761,1081,344,2024-5yr
05762,387,115,2024-5yr
05763,3037,804,2024-5yr
05764,3106,676,2024-5yr
05765,1798,397,2024-5yr
05766,508,155,2024-5yr
05767,1393,441,2024-5yr
05768,70,23,2024-5yr
05769,1238,373,2024-5yr
05770,1185,329,2024-5yr
05772,782,217,2024-5yr
05773,2279,535,2024-5yr
05774,1102,323,2024-5yr
05775,649,161,2024-5yr
05776,341,152,2024-5yr
05777,3229,819,2024-5yr
05778,990,115,2024-5yr
05819,9106,1921,2024-5yr
05820,300,55,2024-5yr
05821,1109,378,2024-5yr
05822,2107,513,2024-5yr
05824,1155,318,2024-5yr
05825,126,23,2024-5yr
05826,839,232,2024-5yr
05827,630,154,2024-5yr
05828,2092,558,2024-5yr
05829,1688,635,2024-5yr
05830,1534,349,2024-5yr
05832,969,159,2024-5yr
05833,28,20,2024-5yr
05836,1531,321,2024-5yr
05837,301,50,2024-5yr
05839,664,101,2024-5yr
05840,34,21,2024-5yr
05841,297,172,2024-5yr
05842,458,92,2024-5yr
05843,2198,679,2024-5yr
05845,1464,251,2024-5yr
05846,1315,341,2024-5yr
05847,1070,132,2024-5yr
05850,307,83,2024-5yr
